--- Log started at 2025-06-06 17:52:13 ---
Cam 1 Focal Length: 111.11 pixels
Cam 2 Focal Length: 111.11 pixels
Cam 3 Focal Length: 111.11 pixels
Cam 4 Focal Length: 111.11 pixels
2025-06-06 17:52:14 | No objects detected
2025-06-06 17:52:15 | No objects detected
2025-06-06 17:52:16 | No objects detected
2025-06-06 17:52:17 | No objects detected
2025-06-06 17:52:18 | No objects detected
2025-06-06 17:52:19 | No objects detected
2025-06-06 17:52:25 | Cam 1 | Person 8, Distance: 18.77 cm
2025-06-06 17:52:25 | Cam 1 | Person 9, Distance: 18.77 cm
2025-06-06 17:52:25 | Cam 1 | Person 10, Distance: 18.77 cm
2025-06-06 17:52:25 | Cam 1 | Person 11, Distance: 18.77 cm
2025-06-06 17:52:25 | Cam 1 | Person 12, Distance: 18.77 cm
2025-06-06 17:52:25 | Cam 2 | Person 1, Distance: 19.1 cm
2025-06-06 17:52:25 | Cam 2 | Person 2, Distance: 19.1 cm
2025-06-06 17:52:25 | Cam 2 | Person 3, Distance: 19.1 cm
2025-06-06 17:52:25 | Cam 2 | Person 4, Distance: 19.1 cm
2025-06-06 17:52:25 | Cam 2 | Person 5, Distance: 19.1 cm
2025-06-06 17:52:25 | Cam 2 | Person 6, Distance: 19.1 cm
2025-06-06 17:52:25 | Cam 2 | Person 7, Distance: 19.1 cm
2025-06-06 17:52:25 | Cam 2 | Person 8, Distance: 19.1 cm
2025-06-06 17:52:25 | Cam 2 | Person 9, Distance: 19.1 cm
2025-06-06 17:52:25 | Cam 2 | Person 10, Distance: 19.1 cm
2025-06-06 17:52:25 | Cam 2 | Person 11, Distance: 19.1 cm
2025-06-06 17:52:25 | Cam 2 | Person 12, Distance: 19.1 cm
2025-06-06 17:52:25 | Cam 3 | Person 1, Distance: 30.01 cm
2025-06-06 17:52:25 | Cam 3 | Person 2, Distance: 30.01 cm
2025-06-06 17:52:25 | Cam 3 | Person 3, Distance: 30.01 cm
2025-06-06 17:52:25 | Cam 3 | Person 4, Distance: 30.01 cm
2025-06-06 17:52:25 | Cam 3 | Person 5, Distance: 30.01 cm
