--- Log started at 2025-06-06 10:16:15 ---
Error: Camera Cam 1 unavailable for reference capture. Using default focal length 600.0.
Error: Camera Cam 2 unavailable for reference capture. Using default focal length 600.0.
2025-06-06 10:16:16 | No objects detected
2025-06-06 10:16:17 | No objects detected
2025-06-06 10:16:18 | No objects detected
2025-06-06 10:16:19 | No objects detected
2025-06-06 10:16:27 | Cam 2 | Person 1, Distance: 228.68 cm
2025-06-06 10:16:27 | Cam 2 | Person 2, Distance: 228.68 cm
2025-06-06 10:16:27 | Cam 2 | Person 3, Distance: 228.68 cm
2025-06-06 10:16:27 | Cam 2 | Person 4, Distance: 228.68 cm
2025-06-06 10:16:27 | Cam 2 | Person 5, Distance: 228.68 cm
2025-06-06 10:16:27 | Cam 2 | Person 6, Distance: 228.68 cm
2025-06-06 10:16:27 | Cam 2 | Person 7, Distance: 228.68 cm
2025-06-06 10:16:28 | Cam 1 | Person 1, Distance: 154.64 cm
2025-06-06 10:16:28 | Cam 1 | Person 2, Distance: 154.64 cm
2025-06-06 10:16:28 | Cam 1 | Person 3, Distance: 154.64 cm
2025-06-06 10:16:28 | Cam 1 | Person 4, Distance: 154.64 cm
2025-06-06 10:16:28 | Cam 1 | Person 5, Distance: 154.64 cm
2025-06-06 10:16:28 | Cam 1 | Person 6, Distance: 154.64 cm
2025-06-06 10:16:28 | Cam 1 | Person 7, Distance: 154.64 cm
2025-06-06 10:16:28 | Cam 1 | Person 8, Distance: 154.64 cm
2025-06-06 10:16:28 | Cam 1 | Person 9, Distance: 154.64 cm
2025-06-06 10:16:28 | Cam 2 | Person 1, Distance: 212.67 cm
2025-06-06 10:16:28 | Cam 2 | Person 2, Distance: 212.67 cm
2025-06-06 10:16:28 | Cam 2 | Person 3, Distance: 212.67 cm
2025-06-06 10:16:28 | Cam 2 | Person 4, Distance: 212.67 cm
2025-06-06 10:16:28 | Cam 2 | Person 5, Distance: 212.67 cm
2025-06-06 10:16:28 | Cam 2 | Person 6, Distance: 212.67 cm
2025-06-06 10:16:28 | Cam 2 | Person 7, Distance: 212.67 cm
2025-06-06 10:16:28 | Cam 2 | Person 8, Distance: 212.67 cm
2025-06-06 10:16:28 | Cam 2 | Person 9, Distance: 212.67 cm
2025-06-06 10:16:28 | Cam 2 | Person 10, Distance: 212.67 cm
2025-06-06 10:16:28 | Cam 2 | Person 11, Distance: 212.67 cm
2025-06-06 10:16:28 | Cam 2 | Person 12, Distance: 212.67 cm
2025-06-06 10:16:29 | Cam 1 | Person 1, Distance: 142.02 cm
2025-06-06 10:16:29 | Cam 1 | Person 2, Distance: 142.02 cm
2025-06-06 10:16:29 | Cam 1 | Person 3, Distance: 142.02 cm
2025-06-06 10:16:29 | Cam 1 | Person 4, Distance: 142.02 cm
2025-06-06 10:16:29 | Cam 1 | Person 5, Distance: 142.02 cm
2025-06-06 10:16:29 | Cam 1 | Person 6, Distance: 142.02 cm
2025-06-06 10:16:29 | Cam 2 | Person 1, Distance: 160.71 cm
2025-06-06 10:16:29 | Cam 2 | Person 2, Distance: 160.71 cm
2025-06-06 10:16:29 | Cam 2 | Person 3, Distance: 160.71 cm
2025-06-06 10:16:29 | Cam 2 | Person 4, Distance: 160.71 cm
2025-06-06 10:16:29 | Cam 2 | Person 5, Distance: 160.71 cm
2025-06-06 10:16:29 | Cam 2 | Person 6, Distance: 160.71 cm
2025-06-06 10:16:29 | Cam 2 | Person 7, Distance: 160.71 cm
2025-06-06 10:16:29 | Cam 2 | Person 8, Distance: 160.71 cm
2025-06-06 10:16:29 | Cam 2 | Person 9, Distance: 160.71 cm
2025-06-06 10:16:30 | Cam 1 | Person 1, Distance: 144.68 cm
2025-06-06 10:16:30 | Cam 1 | Person 2, Distance: 144.68 cm
2025-06-06 10:16:30 | Cam 1 | Person 3, Distance: 144.68 cm
2025-06-06 10:16:30 | Cam 1 | Person 4, Distance: 144.68 cm
2025-06-06 10:16:30 | Cam 1 | Person 5, Distance: 144.68 cm
2025-06-06 10:16:30 | Cam 1 | Person 6, Distance: 144.68 cm
2025-06-06 10:16:30 | Cam 1 | Person 7, Distance: 144.68 cm
2025-06-06 10:16:30 | Cam 2 | Person 1, Distance: 184.4 cm
2025-06-06 10:16:30 | Cam 2 | Person 2, Distance: 184.4 cm
2025-06-06 10:16:30 | Cam 2 | Person 3, Distance: 184.4 cm
2025-06-06 10:16:30 | Cam 2 | Person 4, Distance: 184.4 cm
2025-06-06 10:16:30 | Cam 2 | Person 5, Distance: 184.4 cm
2025-06-06 10:16:30 | Cam 2 | Person 6, Distance: 184.4 cm
2025-06-06 10:16:30 | Cam 2 | Person 7, Distance: 184.4 cm
2025-06-06 10:16:31 | Cam 1 | Person 1, Distance: 154.18 cm
2025-06-06 10:16:31 | Cam 1 | Person 2, Distance: 154.18 cm
2025-06-06 10:16:31 | Cam 1 | Person 3, Distance: 154.18 cm
2025-06-06 10:16:31 | Cam 1 | Person 4, Distance: 154.18 cm
2025-06-06 10:16:31 | Cam 1 | Person 5, Distance: 154.18 cm
2025-06-06 10:16:31 | Cam 1 | Person 6, Distance: 154.18 cm
2025-06-06 10:16:31 | Cam 2 | Person 1, Distance: 172.0 cm
2025-06-06 10:16:31 | Cam 2 | Person 2, Distance: 172.0 cm
2025-06-06 10:16:31 | Cam 2 | Person 3, Distance: 172.0 cm
2025-06-06 10:16:31 | Cam 2 | Person 4, Distance: 172.0 cm
2025-06-06 10:16:31 | Cam 2 | Person 5, Distance: 172.0 cm
2025-06-06 10:16:31 | Cam 2 | Person 6, Distance: 172.0 cm
2025-06-06 10:16:32 | Cam 1 | Person 1, Distance: 151.16 cm
2025-06-06 10:16:32 | Cam 1 | Person 2, Distance: 151.16 cm
2025-06-06 10:16:32 | Cam 1 | Person 3, Distance: 151.16 cm
2025-06-06 10:16:32 | Cam 1 | Person 4, Distance: 151.16 cm
2025-06-06 10:16:32 | Cam 1 | Person 5, Distance: 151.16 cm
2025-06-06 10:16:32 | Cam 1 | Person 6, Distance: 151.16 cm
2025-06-06 10:16:32 | Cam 1 | Person 7, Distance: 151.16 cm
2025-06-06 10:16:32 | Cam 1 | Person 8, Distance: 151.16 cm
2025-06-06 10:16:32 | Cam 1 | Person 9, Distance: 151.16 cm
2025-06-06 10:16:32 | Cam 1 | Person 10, Distance: 151.16 cm
2025-06-06 10:16:32 | Cam 1 | Person 11, Distance: 151.16 cm
2025-06-06 10:16:32 | Cam 1 | Person 12, Distance: 151.16 cm
2025-06-06 10:16:32 | Cam 1 | Person 13, Distance: 151.16 cm
2025-06-06 10:16:32 | Cam 2 | Person 1, Distance: 168.38 cm
2025-06-06 10:16:32 | Cam 2 | Person 2, Distance: 168.38 cm
2025-06-06 10:16:32 | Cam 2 | Person 3, Distance: 168.38 cm
2025-06-06 10:16:32 | Cam 2 | Person 4, Distance: 168.38 cm
2025-06-06 10:16:32 | Cam 2 | Person 5, Distance: 168.38 cm
2025-06-06 10:16:32 | Cam 2 | Person 6, Distance: 168.38 cm
2025-06-06 10:16:32 | Cam 2 | Person 7, Distance: 168.38 cm
2025-06-06 10:16:32 | Cam 2 | Person 8, Distance: 168.38 cm
2025-06-06 10:16:32 | Cam 2 | Person 9, Distance: 168.38 cm
2025-06-06 10:16:32 | Cam 2 | Person 10, Distance: 168.38 cm
2025-06-06 10:16:32 | Cam 2 | Person 11, Distance: 168.38 cm
2025-06-06 10:16:32 | Cam 2 | Person 12, Distance: 168.38 cm
2025-06-06 10:16:32 | Cam 2 | Person 13, Distance: 168.38 cm
2025-06-06 10:16:33 | Cam 1 | Person 1, Distance: 149.57 cm
2025-06-06 10:16:33 | Cam 1 | Person 2, Distance: 149.57 cm
2025-06-06 10:16:33 | Cam 1 | Person 3, Distance: 149.57 cm
2025-06-06 10:16:33 | Cam 1 | Person 4, Distance: 149.57 cm
2025-06-06 10:16:33 | Cam 1 | Person 5, Distance: 149.57 cm
2025-06-06 10:16:33 | Cam 1 | Person 6, Distance: 149.57 cm
2025-06-06 10:16:33 | Cam 1 | Person 7, Distance: 149.57 cm
2025-06-06 10:16:33 | Cam 1 | Person 8, Distance: 149.57 cm
2025-06-06 10:16:33 | Cam 1 | Person 9, Distance: 149.57 cm
2025-06-06 10:16:33 | Cam 1 | Person 10, Distance: 149.57 cm
2025-06-06 10:16:33 | Cam 1 | Person 11, Distance: 149.57 cm
2025-06-06 10:16:33 | Cam 2 | Person 1, Distance: 167.74 cm
2025-06-06 10:16:33 | Cam 2 | Person 2, Distance: 167.74 cm
2025-06-06 10:16:33 | Cam 2 | Person 3, Distance: 167.74 cm
2025-06-06 10:16:33 | Cam 2 | Person 4, Distance: 167.74 cm
2025-06-06 10:16:33 | Cam 2 | Person 5, Distance: 167.74 cm
2025-06-06 10:16:33 | Cam 2 | Person 6, Distance: 167.74 cm
2025-06-06 10:16:33 | Cam 2 | Person 7, Distance: 167.74 cm
2025-06-06 10:16:33 | Cam 2 | Person 8, Distance: 167.74 cm
2025-06-06 10:16:33 | Cam 2 | Person 9, Distance: 167.74 cm
2025-06-06 10:16:33 | Cam 2 | Person 10, Distance: 167.74 cm
2025-06-06 10:16:33 | Cam 2 | Person 11, Distance: 167.74 cm
2025-06-06 10:16:34 | Cam 1 | Person 1, Distance: 151.64 cm
2025-06-06 10:16:34 | Cam 1 | Person 2, Distance: 151.64 cm
2025-06-06 10:16:34 | Cam 1 | Person 3, Distance: 151.64 cm
2025-06-06 10:16:34 | Cam 1 | Person 4, Distance: 151.64 cm
2025-06-06 10:16:34 | Cam 1 | Person 5, Distance: 151.64 cm
2025-06-06 10:16:34 | Cam 1 | Person 6, Distance: 151.64 cm
2025-06-06 10:16:34 | Cam 1 | Person 7, Distance: 151.64 cm
2025-06-06 10:16:34 | Cam 1 | Person 8, Distance: 151.64 cm
2025-06-06 10:16:34 | Cam 1 | Person 9, Distance: 151.64 cm
2025-06-06 10:16:34 | Cam 1 | Person 10, Distance: 151.64 cm
2025-06-06 10:16:34 | Cam 1 | Person 11, Distance: 151.64 cm
2025-06-06 10:16:34 | Cam 1 | Person 12, Distance: 151.64 cm
2025-06-06 10:16:34 | Cam 2 | Person 1, Distance: 168.08 cm
2025-06-06 10:16:34 | Cam 2 | Person 2, Distance: 168.08 cm
2025-06-06 10:16:34 | Cam 2 | Person 3, Distance: 168.08 cm
2025-06-06 10:16:34 | Cam 2 | Person 4, Distance: 168.08 cm
2025-06-06 10:16:34 | Cam 2 | Person 5, Distance: 168.08 cm
2025-06-06 10:16:34 | Cam 2 | Person 6, Distance: 168.08 cm
2025-06-06 10:16:34 | Cam 2 | Person 7, Distance: 168.08 cm
2025-06-06 10:16:34 | Cam 2 | Person 8, Distance: 168.08 cm
2025-06-06 10:16:34 | Cam 2 | Person 9, Distance: 168.08 cm
2025-06-06 10:16:34 | Cam 2 | Person 10, Distance: 168.08 cm
2025-06-06 10:16:34 | Cam 2 | Person 11, Distance: 168.08 cm
2025-06-06 10:16:34 | Cam 2 | Person 12, Distance: 168.08 cm
2025-06-06 10:16:35 | Cam 1 | Person 1, Distance: 151.32 cm
2025-06-06 10:16:35 | Cam 1 | Person 2, Distance: 151.32 cm
2025-06-06 10:16:35 | Cam 1 | Person 3, Distance: 151.32 cm
2025-06-06 10:16:35 | Cam 1 | Person 4, Distance: 151.32 cm
2025-06-06 10:16:35 | Cam 1 | Person 5, Distance: 151.32 cm
2025-06-06 10:16:35 | Cam 1 | Person 6, Distance: 151.32 cm
2025-06-06 10:16:35 | Cam 1 | Person 7, Distance: 151.32 cm
