--- Log started at 2025-06-06 17:37:53 ---
Cam 1 Focal Length: 111.11 pixels
Cam 2 Focal Length: 111.11 pixels
2025-06-06 17:37:54 | No objects detected
2025-06-06 17:37:55 | No objects detected
2025-06-06 17:37:56 | No objects detected
2025-06-06 17:38:06 | Cam 1 | Person 10, Distance: 21.21 cm
2025-06-06 17:38:06 | Cam 1 | Person 11, Distance: 21.21 cm
2025-06-06 17:38:06 | Cam 1 | Person 12, Distance: 21.21 cm
2025-06-06 17:38:06 | Cam 1 | Person 13, Distance: 21.21 cm
2025-06-06 17:38:06 | Cam 1 | Person 14, Distance: 21.21 cm
2025-06-06 17:38:06 | Cam 1 | Person 15, Distance: 21.21 cm
2025-06-06 17:38:06 | Cam 1 | Person 16, Distance: 21.21 cm
2025-06-06 17:38:06 | Cam 1 | Person 17, Distance: 21.21 cm
2025-06-06 17:38:06 | Cam 1 | Person 18, Distance: 21.21 cm
2025-06-06 17:38:06 | Cam 2 | Person 1, Distance: 41.59 cm
2025-06-06 17:38:06 | Cam 2 | Person 2, Distance: 41.59 cm
2025-06-06 17:38:06 | Cam 2 | Person 3, Distance: 41.59 cm
2025-06-06 17:38:06 | Cam 2 | Person 4, Distance: 41.59 cm
2025-06-06 17:38:06 | Cam 2 | Person 5, Distance: 41.59 cm
2025-06-06 17:38:06 | Cam 2 | Person 6, Distance: 41.59 cm
2025-06-06 17:38:06 | Cam 2 | Person 7, Distance: 41.59 cm
2025-06-06 17:38:06 | Cam 2 | Person 8, Distance: 41.59 cm
2025-06-06 17:38:06 | Cam 2 | Person 9, Distance: 41.59 cm
2025-06-06 17:38:06 | Cam 2 | Person 10, Distance: 41.59 cm
2025-06-06 17:38:06 | Cam 2 | Person 11, Distance: 41.59 cm
2025-06-06 17:38:06 | Cam 2 | Person 12, Distance: 41.59 cm
2025-06-06 17:38:06 | Cam 2 | Person 13, Distance: 41.59 cm
2025-06-06 17:38:06 | Cam 2 | Person 14, Distance: 41.59 cm
2025-06-06 17:38:06 | Cam 2 | Person 15, Distance: 41.59 cm
2025-06-06 17:38:06 | Cam 2 | Person 16, Distance: 41.59 cm
2025-06-06 17:38:06 | Cam 2 | Person 17, Distance: 41.59 cm
2025-06-06 17:38:06 | Cam 2 | Person 18, Distance: 41.59 cm
2025-06-06 17:38:07 | Cam 1 | Person 1, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 2, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 3, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 4, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 5, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 6, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 7, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 8, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 9, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 10, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 11, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 12, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 13, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 14, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 15, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 16, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 17, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 18, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 1 | Person 19, Distance: 21.13 cm
2025-06-06 17:38:07 | Cam 2 | Person 1, Distance: 36.28 cm
2025-06-06 17:38:07 | Cam 2 | Person 2, Distance: 36.28 cm
2025-06-06 17:38:07 | Cam 2 | Person 3, Distance: 36.28 cm
2025-06-06 17:38:07 | Cam 2 | Person 4, Distance: 36.28 cm
2025-06-06 17:38:07 | Cam 2 | Person 5, Distance: 36.28 cm
2025-06-06 17:38:07 | Cam 2 | Person 6, Distance: 36.28 cm
2025-06-06 17:38:07 | Cam 2 | Person 7, Distance: 36.28 cm
2025-06-06 17:38:07 | Cam 2 | Person 8, Distance: 36.28 cm
2025-06-06 17:38:07 | Cam 2 | Person 9, Distance: 36.28 cm
